Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords
DANI GROUP SRL,IT,Italie,FONTANIVA,VIA DEL LAVORO 23,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.danishoppingonline.com,0,0,0,6,4,7,YES,NO,NO,,ANNA DANI - Shop,,,,,
NITTA GIOIELLI S.R.L.,IT,Italie,UDINE,VIA RIALTO 19,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of department stores,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the operation of department stores [source: Bureau van Dijk],nittagioielli.com,0,0,0,6,4,5,YES,NO,NO,www.nittagioielli.com,Gioelleria Nitta – Nitta,,,Gioelleria Nitta – Nitta,,
CHRISTIAN LOUBOUTIN ESPANA SA,ES,Espagne,MADRID,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,Explotación y gestión de boutique oficial de Cristian Louboutin.,,eu.christianlouboutin.com/es_en,0,0,0,5,5,7,YES,YES,,,Christian Louboutin Spain - Official Website | Luxury shoes and leather goods,"Discover iconic pieces and latest collections designed by Christian Louboutin on our official online boutique : women shoes, men shoes, bags, beauty.
Online exclusives. Free delivery and return. Expert advice.",,,,
VIA PARADISO,ME,Monténégro,PODGORICA,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,Retail sale of clothing in specialised stores,www.viaparadiso.me,0,0,1,6,6,8,YES,NO,NO,,Home,Istražite omiljene brendove na popustu i do -50% Izaberite omiljene modne komade iz kolekcije jesen/zima.,,,,
UAB TOMAS GOLD,LT,Lituanie,KLAIPEDOS M.,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,,,www.tomasgold.lt,1,1,0,6,5,5,YES,NO,NO,,Tomas Gold - aukso ir sidabro juvelyrika,"Juvelyriniai aukso ir sidabro gaminiai. Žiedai, grandinėlės, apyrankės, auskarai, pakabukai iš aukso. Auksinių ir sidabrinių papuošalų kolekcijos","Auksas, sidabras, cirkonis, briliantai, žiedai, auskarai, segė, larimaras, kvarcas, opalas, ametistas, granatas, zultanitas, topazas, korundas, tanzanitas, aleksandritas, citrinas, rinkės,",,,
LIFESTYLE S.R.L.,IT,Italie,ROMA,VIA MONTE NIBBIO 25/G-H,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.lifestyle-bugatti.com,0,0,0,6,4,5,YES,NO,NO,,,,,,,
F.G. FECAROTTA GIOIELLI S.R.L.,IT,Italie,PALERMO,VIA RUGGIERO SETTIMO 68,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of colored gemstones and studded jewelry,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the retail trade of colored gemstones and studded jewelry [source: Bureau van Dijk],www.fecarotta.com,1,0,0,6,5,5,YES,NO,NO,www.fecarotta.it,Gioielleria online di lusso - Fecarotta Gioielli,"Fecarotta Gioielli è rivenditore ufficiale di rinomati brand come BVLGARI, Gucci e tanti altri. Iscriviti e ricevi coupon di benvenuto con codice sconto!",,Gioielleria online di lusso - Fecarotta Gioielli,"Fecarotta Gioielli è rivenditore ufficiale di rinomati brand come BVLGARI, Gucci e tanti altri. Iscriviti e ricevi coupon di benvenuto con codice sconto!",
EMILIO LOPEZ ALVARINO SL,ES,Espagne,LUGO,,4771,Commerce de détail d'habillement en magasin spécialisé,,,"Venta al por menor de ropa,principlamente ropa juvenil y complementos.",,www.korner.es,1,0,1,6,5,7,YES,NO,NO,,Comprar ropa online de marca a los mejores precios - Korner,Comprar ropa online de marca a los mejores precios. Envios en 24-48 H. Las mejores marcas al mejor precio.,"Korner,Comprar ropa online de marca,Comprar ropa online,Tienda online ropa,Tienda online ropa marca,marcas de ropa",,,
BLONDI GIOIELLI S.P.A.,IT,Italie,MODENA,VIA EMILIA 88,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"An Italy based enterprise engaged in the wholesale of jewelry, watches, precious stones, and precious metals",Wholesale; Services,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,"An Italy based enterprise engaged in the wholesale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.blondi.it,0,0,0,6,4,7,YES,NO,NO,blondi.it,Gioielleria Online  | Blondi 1897,"Blondi Gioielli è la storica gioielleria di Modena, dal 1897. Oggi puoi anche acquistare i nostri gioielli online: sfoglia il catalogo e scopri le offerte!","Gioielleria Modena, gioielleria online",Gioielleria Online  | Blondi 1897,"Blondi Gioielli è la storica gioielleria di Modena, dal 1897. Oggi puoi anche acquistare i nostri gioielli online: sfoglia il catalogo e scopri le offerte!","Gioielleria Modena, gioielleria online"
E. CANALI SRL,IT,Italie,MONZA,VIA ITALIA 44,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OGGETTI PREZIOSI,,www.gioielleriacanali.it,1,1,1,6,6,7,YES,NO,NO,,Gioielleria Canali,,,,,
