Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in English,Website,"Operating result [=EBIT] mEUR 2021","Operating result [=EBIT] mEUR 2020","Operating result [=EBIT] mEUR 2019","Turnover mEUR 2021","Turnover mEUR 2020","Turnover mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
NEWMAX NOWAK I WSPOLNICY SP.K.,PL,Pologne,RZESZOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale and retail trade of New Balance sports shoes,Wholesale; Retail,Trade: footwear,"www.nbsklep.pl",1.0,2.0,14.0,17,17,75,YES,NO,NO
EVOLUTION S.R.L.,IT,Italie,POLIGNANO A MARE,STRADA COMUNALE QUINTAVALLE,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,Engaged in the retail sale of footwear [source: Bureau van Dijk],"www.evolutionboutique.it",0.0,0.0,1.0,17,12,15,YES,NO,NO
MAGAZZINI BERTON S.R.L.,IT,Italie,BOLZANO VICENTINO,VIA ZUCCOLA 24/C,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail distribution of clothing, footwear and accessories",Retail,"Engaged in the retail distribution of clothing, footwear and accessories [source: Bureau van Dijk]",www.bertonmagazzini.it,1.0,0.0,0.0,16,13,15,YES,NO,NO
"GOFAS, G., & CO P.C. ""GOFAS JEWELRY""",GR,Grèce,ATHENS,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of jewelry stores,Retail,"Imports and trade of jewellery, watches, garments, shoes, accessories and costume jewellery",www.gofas.gr,1.0,0.0,1.0,16,8,16,YES,NO,NO
TWA RETAIL SP. Z O.O. SP.K.,PL,Pologne,KRAKOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,Engaged in the retail trade of clothing apparels [source: Bureau van Dijk],www.reporteryoung.pl,1.0,0.0,1.0,16,13,15,YES,NO,NO
"NIVEL PRECIOSO, LDA",PT,Portugal,VIZELA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of a wide range of merchandise,Retail,Engaged in the retail trade of a wide range of merchandise [source: Bureau van Dijk],No Website,0.0,0.0,0.0,16,20,12,YES,NO,NO
MEGAFORT OU,EE,Estonie,TALLINN,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of watches and jewelry,Retail,Retail sale of watches and jewellery in specialised stores,www.goldtime.ee,3.0,2.0,0.0,16,13,13,YES,NO,NO
HUGO BOSS INTERNATIONAL MARKETS AG S.A. ODDZIAL W POLSCE,PL,Pologne,WARSZAWA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of luxury fashion items,Retail,Engaged in the retail of luxury fashion items [source: Bureau van Dijk],"www.hugoboss.pl",0.0,-3.0,-1.0,16,11,14,YES,YES,
ADRENALINE.PL SP. Z O.O. SP.K.,PL,Pologne,OLSZTYN,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of sportswear,Retail,Engaged in the retail of sportswear [source: Bureau van Dijk],adrenaline.pl,2.0,1.0,2.0,16,13,18,YES,NO,NO
SA TURRI ET FILS,FR,France,PARAY LE MONIAL,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation and management of a shoe store,Retail,Engaged in the operation and management of a shoe store [source: Bureau van Dijk],www.chaussures.turri.fr,0.0,0.0,0.0,16,13,17,YES,NO,NO
NEW YORKER ESTONIA OU,EE,Estonie,TALLINN,,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing store,Retail,Retail sale of clothing in specialised stores,"www.newyorker.de",4.0,2.0,2.0,15,14,16,YES,NO,NO
STELLA SITI RITEIL,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of fashion clothing and accessories for women,Retail,Engaged in the retail sale of fashion clothing and accessories for women [source: Bureau van Dijk],world.marella.com,2.0,0.0,2.0,15,10,18,YES,NO,NO
HYLTON,FR,France,AIX EN PROVENCE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in offering shoes of all styles for men and women,Retail,Engaged in offering shoes of all styles for men and women [source: Bureau van Dijk],www.hylton.fr,1.0,1.0,1.0,15,12,11,YES,NO,NO
ROBERT GATWARD JEWELLERS LIMITED,GB,Royaume-Uni,HUNGERFORD,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the wholesale and retail of jewelry and related services,Wholesale; Retail; Services,Jewellery retailers.,www.robertgatwardjewellers.co.uk,3.0,2.0,2.0,15,11,14,YES,NO,NO
GLOBAL BRANDS DISTRIBUTION OOD,BG,Bulgarie,SOFIA,"KV. ZHILISHTNA GRUPA YUZHEN PARK, UL. KOZYAK 12, BL. 122, VH. A, ET. 1, AP. 1",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of branded apparel and footwear in specialised stores,Retail,Engaged in the retail sale of branded apparel and footwear in specialised stores [source: Bureau van Dijk],www.globalbrands.bg,1.0,1.0,1.0,15,12,13,YES,NO,NO
MANZONI SRL,IT,Italie,BELLUNO,VIA ROMA 19,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear products,Retail,Engaged in the retail sale of footwear products [source: Bureau van Dijk],"www.manzonisrl.it",1.0,1.0,1.0,15,15,18,YES,NO,NO
SICAR,FR,France,NICE,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing principally in France,Retail,Engaged in the retail sale of clothing principally in France [source: Bureau van Dijk],www.hermes.com,4.0,1.0,3.0,15,10,14,YES,NO,NO
S. D. KELLS LIMITED,GB,Royaume-Uni,ENNISKILLEN,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of apparel, accessories and other textile products",Retail,"Ladies, gents and childrens outfitters, together with the sale of household goods.",www.sdkells.co.uk,2.0,1.0,1.0,15,11,15,YES,NO,NO
RETAIL SHOES LLC,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail trade of footwear and other related products,Retail,Engaged in the retail trade of footwear and other related products [source: Bureau van Dijk],respect-shoes.ru,2.0,1.0,1.0,15,11,15,YES,NO,NO
PAPINI S.R.L.,IT,Italie,CATANIA,CORSO ITALIA 171,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as the exclusive fashion store of luxury brands with a wide selection of haute-couture clothings of international designers,Retail,Operates as the exclusive fashion store of luxury brands with a wide selection of haute-couture clothings of international designers [source: Bureau van Dijk],www.papinistore.com,0.0,0.0,0.0,15,14,15,YES,NO,NO
DAVID-ANDERSEN AS,NO,Norvège,OSLO,POSTBOKS 773  SENTRUM,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale and marketing of gold and silver wares and related fashion accessories as well as in redesigning fashionable items,Retail,Engaged in the retail sale and marketing of gold and silver wares and related fashion accessories as well as in redesigning fashionable items [source: Bureau van Dijk],www.david-andersen.no,1.0,1.0,0.0,15,13,12,YES,NO,NO
COLELLA GROUP S.R.L.,IT,Italie,NAPOLI,VIA VINCENZO RUIZ ARANGIO 42,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,Engaged in the retail sale of clothing in specialised stores [source: Bureau van Dijk],"lnx.spadaroma.com",1.0,1.0,1.0,15,12,19,YES,NO,NO
ROBERTO JOYERO VIGO SL,ES,Espagne,VIGO,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Primarily engaged in the wholesale and retail sale of jewelry, watches, precious stones, and precious metals",Wholesale; Retail,"Primarily engaged in the wholesale and retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.robertojoyero.com,5.0,3.0,3.0,15,9,11,YES,NO,NO
GARIBALDINA S.R.L.,IT,Italie,RHO,CORSO GIUSEPPE GARIBALDI 23,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail trade of footwear and other related leather products,Retail,Engaged in the retail trade of footwear and other related leather products [source: Bureau van Dijk],www.garibaldinacalzature.it,2.0,0.0,1.0,14,11,14,YES,NO,NO
MGCGROUP MEGACALZADO IBERICA SL,ES,Espagne,ORKOIEN,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail distribution of footwear and related products,Retail,Engaged in the retail distribution of footwear and related products [source: Bureau van Dijk],www.megacalzado.com,1.0,1.0,0.0,14,13,16,YES,NO,NO
CUMINI TRE S.R.L.,IT,Italie,GEMONA DEL FRIULI,VIA SAN DANIELE 3,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the sale of clothing and accessories,Retail,Engaged in the sale of clothing and accessories [source: Bureau van Dijk],"www.cumini.it",0.0,1.0,0.0,14,13,15,YES,NO,NO
ELEGANTKA,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,"Sale of clothes, footware and accessories",www.fursk.ru,-1.0,0.0,-1.0,14,12,21,YES,YES,
BIG BRAND SOLE SHAREHOLDER CO. LTD,GR,Grèce,RETHYMNO,,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as an online clothing store that caters to all those who love athletic and casual outfits,Retail,"Trade of sportswear, sports shoes and sports goods (also sales via internet)",www.heavenofbrands.com,1.0,0.0,-1.0,14,12,12,YES,NO,NO
BRENTA,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the marketing and sale of furniture and home furnishings,Wholesale; Retail,Engaged in the marketing and sale of furniture and home furnishings [source: Bureau van Dijk],No Website,1.0,0.0,1.0,14,8,11,YES,NO,NO
ADAMAKOS BROS S.A.,GR,Grèce,PERISTERI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale and retail marketing of men's fashion and clothing items,Wholesale; Retail,"Imports and trade of men's wear, shoes and accessories (also via internet). Real Estate lessors",www.adamakos.gr,3.0,1.0,1.0,14,9,15,YES,NO,NO
GLEN,RU,Fédération de Russie,MOSCOW,"UL. KASATKINA D. 3, ET 4 POM4",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing store,Retail,"Retail sale of clothing (brands Glenfield, Flo&Jo, Braccialini)","www.flo-jo.ru",1.0,1.0,0.0,14,10,21,YES,NO,NO
PROGETTO MODA S.R.L.,IT,Italie,ALTAMURA,PIAZZA ZANARDELLI N. 11,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing and accessories,Retail,Engaged in the retail distribution of clothing and accessories [source: Bureau van Dijk],"www.anteprimaextra.com",1.0,1.0,0.0,14,11,11,YES,NO,NO
"UNIFATO - CONFECCOES DO CENTRO, LDA",PT,Portugal,REGUENGO DO FETAL,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,Engaged in the retail sale of clothing [source: Bureau van Dijk],www.unifato.pt,1.0,0.0,1.0,13,16,28,YES,NO,NO
MARC TENSEN,BE,Belgique,ANTWERPEN,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of jewelry and watch stores,Retail,Engaged in the operation of jewelry and watch stores [source: Bureau van Dijk],www.tensen.be,2.0,0.0,0.0,13,9,11,YES,NO,NO
LOSCHI SRL,IT,Italie,TREVISO,VIA MARTIRI DELLA LIBERTA' 10,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing store,Retail,Operates as a clothing store [source: Bureau van Dijk],"loschiboutique.com",1.0,0.0,0.0,13,12,12,YES,NO,NO
YAR,RU,Fédération de Russie,KRASNOYARSK,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,Engaged in the retail sale of clothing in specialised stores [source: Bureau van Dijk],No Website,2.0,0.0,1.0,13,8,13,YES,NO,NO
GLOBUS CONFEZIONI S.P.A.,IT,Italie,BOLZANO,PIAZZA DEL MUNICIPIO 4/A,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing and related accessories,Retail,Engaged in the retail trade of clothing and related accessories [source: Bureau van Dijk],"www.globus-mode.it",0.0,-1.0,0.0,13,9,15,YES,NO,YES
LAATUKORU OY,FI,Finlande,HYVINKAA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of jewelry products and other valuable goods in Finland,Retail,"Yhtion toimialana on kello- ja kultasepanalan kauppa ja valmistustoiminta seka kaikki niihin liittyva toiminta. Yhtio voi harjoittaa kaytettyjen tavaroiden osto-, myynti- ja valitysliiketoimintaa. Yhtio voi myos omistaa ja hallita kiinteistoja seka vuokrata niissa sijaitsevia huoneistoja ulkopuolisille. Lisaksi yhtio voi kayda arvopaperikauppaa ja harjoittaa sijoitustoimintaa. Yhtio voi antaa vakuuksia ja takauksia muiden yhtioiden ja henkiloiden veloista ja vastuista.",www.laatukoru.fi,0.0,0.0,0.0,12,10,9,YES,NO,NO
BIKBOK OY,FI,Finlande,HELSINKI,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and fashion items,Retail,Bolaget ska driva handelsrorelse inom konfektion jamte annan darmed forenlig verksamhet.,www.bikbok.com,-1.0,-3.0,-3.0,13,11,14,YES,YES,
FERNER JACOBSEN AKTIESELSKAP,NO,Norvège,OSLO,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,Engaged in the retail trade of clothing apparels [source: Bureau van Dijk],No Website,1.0,0.0,1.0,12,10,11,YES,NO,NO
JS GROUP,RU,Fédération de Russie,MOSCOW,"PR-KT VOLGOGRADSKII D. 42, K. 23",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in selling pantyhose and underwear,Retail,Engaged in selling pantyhose and underwear [source: Bureau van Dijk],"js-company.ru",1.0,1.0,2.0,12,12,19,YES,NO,NO
SARL MAILLOCHON,FR,France,LIMOGES,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of clothing,Retail,Engaged in the retail of clothing [source: Bureau van Dijk],www.imajeans.fr,1.0,0.0,0.0,12,9,11,YES,NO,NO
MANGO HAUSSMANN,FR,France,PARIS,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale and retail trade of apparel, accessories and other textile products",Wholesale; Retail,"Engaged in the wholesale and retail trade of apparel, accessories and other textile products [source: Bureau van Dijk]",www.mango.com,1.0,-2.0,1.0,12,9,17,YES,NO,YES
SMART RETAIL EOOD,BG,Bulgarie,SOFIA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],"www.orsay-fashion.bg",0.0,1.0,2.0,12,11,14,YES,NO,NO
RETAIL 2000 S.R.L.,IT,Italie,RHO,VIA ACHILLE GRANDI 2,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],www.matiasfashionoutlet.com,3.0,3.0,3.0,12,12,16,YES,NO,NO
ROCALE' SRL,IT,Italie,MILANO,VIA BENEDETTO CROCE 9,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Operates as a shoe store,Retail,Operates as a shoe store [source: Bureau van Dijk],www.rocalecalzature.it,0.0,0.0,0.0,12,9,12,YES,NO,NO
ARGO RETAIL SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,FIRENZE,VIA ALFONSO LAMARMORA 39,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],No Website,0.0,-1.0,-2.0,12,5,11,YES,YES,
RONCHI - OREFICERIA OROLOGERIA S.R.L.,IT,Italie,MILANO,VIA MAURIZIO GONZAGA 0005,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail distribution of a wide range of watches,Retail,Engaged in the retail distribution of a wide range of watches [source: Bureau van Dijk],www.ronchigioielli.com,2.0,2.0,2.0,12,9,13,YES,NO,NO
"VIEIRA & FRANK - IMPORTACAO E REPRESENTACAO DE CALCADO E CONFECCAO, LDA",PT,Portugal,LISBOA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of clothing products and accessories in Portugal,Retail,Engaged in the retail sale of clothing products and accessories in Portugal [source: Bureau van Dijk],"www.stivali.pt",1.0,1.0,1.0,11,9,12,YES,NO,NO
"MUNDO DOS FATOS - COMERCIO DE VESTUARIO, LDA",PT,Portugal,SANTA MARTA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,Engaged in the retail trade of clothing apparels [source: Bureau van Dijk],"www.mundodosfatos.com",1.0,0.0,1.0,11,5,11,YES,NO,NO
GROENHAUG RETAIL AS,NO,Norvège,BERGEN,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of family clothing,Retail,Engaged in the retail sale of family clothing [source: Bureau van Dijk],No Website,1.0,0.0,0.0,11,9,12,YES,NO,NO
ABATE & C. S.R.L.,IT,Italie,SANREMO,CORSO IMPERATRICE 3,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of jewelry stores,Wholesale; Retail,Engaged in the operation of jewelry stores [source: Bureau van Dijk],"www.abategioielli.it",2.0,2.0,1.0,11,9,12,YES,NO,NO
DENIS SHOES SRL,RO,Roumanie,SUCEAVA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Operates as a shoe store engaged in the retail distribution of shoes,Retail,Operates as a shoe store engaged in the retail distribution of shoes [source: Bureau van Dijk],www.denisshoes.com,1.0,0.0,0.0,11,8,11,YES,NO,NO
RAZZIA SL,ES,Espagne,ARAFO,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of apparel,Retail,Engaged in the retail sale of apparel [source: Bureau van Dijk],razzia.es,2.0,0.0,1.0,11,7,13,YES,NO,NO
KUBENZ BERNACIAK SP.K.,PL,Pologne,ELK,,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing store,Retail,Operates as a clothing store [source: Bureau van Dijk],kubenz.pl,1.0,0.0,3.0,11,9,17,YES,NO,NO
"MODARTE, LDA",PT,Portugal,BRAGA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale and retail distribution of travel products in Portugal,Wholesale; Retail,Engaged in the wholesale and retail distribution of travel products in Portugal [source: Bureau van Dijk],www.modarte.pt,0.0,-1.0,1.0,11,9,18,YES,NO,NO
TORELLI SRL,IT,Italie,TREVIGLIO,VIA ROMA 2/4,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Involved in the retail distribution of a range of jewelry and other related products; and provision of engraving, personalization, and customization services, as well as jewelry repair services",Retail,"Involved in the retail distribution of a range of jewelry and other related products; and provision of engraving, personalization, and customization services, as well as jewelry repair services [source: Bureau van Dijk]",www.gioiellerietorelli.com,0.0,0.0,0.0,11,8,11,YES,NO,NO
ANNUNZIATA GROUP S.R.L.,IT,Italie,GIOIA TAURO,VIA NAZIONALE 111 294,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing and other related products,Retail,Engaged in the retail distribution of clothing and other related products [source: Bureau van Dijk],www.annunziatastore.it,0.0,-1.0,0.0,10,8,11,YES,YES,
CUSI MONTENAPOLEONE S.R.L.,IT,Italie,MILANO,VIA MONTE NAPOLEONE 21/A,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the sale of jewelries,Retail,Engaged in the sale of jewelries [source: Bureau van Dijk],www.cusimontenapoleone.com,1.0,0.0,1.0,10,6,10,YES,NO,NO
NITTIS OU,EE,Estonie,"PEETRI ALEVIK, RAE VALD",,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail trade of footwear and other related products,Retail,Retail sale of footwear and leather goods in specialised stores,ee.nsking.eu,1.0,-3.0,0.0,10,11,14,YES,NO,YES
DOCKYARD ISLANDS KERESKEDELMI ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of apparel, accessories and other textile products",Retail,"Engaged in the retail sale of apparel, accessories and other textile products [source: Bureau van Dijk]","www.dcy.hu",0.0,1.0,0.0,10,9,10,YES,NO,NO
CENTURIOR S.R.L.,IT,Italie,MILANO,CORSO VENEZIA 17,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of general merchandise,Retail,Engaged in the retail distribution of general merchandise [source: Bureau van Dijk],www.farfetch.com,0.0,-5.0,0.0,10,8,13,YES,NO,YES
"SANTOS & JUNIORES, S.A.",PT,Portugal,LISBOA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear and leather goods,Retail,Engaged in the retail sale of footwear and leather goods [source: Bureau van Dijk],"www.profonlinestore.com",1.0,0.0,1.0,10,8,10,YES,NO,NO
LINEA S.A.,GR,Grèce,ATHENS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of women's clothing and accessories in Greece,Retail,Exclusive imports and trade of women's wear and accessories,www.lineapiu.gr,4.0,0.0,3.0,10,6,12,YES,NO,NO
MENICHINI MARIO E RENATO - S.P.A.,IT,Italie,ROMA,PIAZZA DI SPAGNA 1,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail distribution of jewellery,Retail,Engaged in the retail distribution of jewellery [source: Bureau van Dijk],www.menichinigioiellieri.it,1.0,1.0,0.0,10,9,6,YES,NO,NO
TEODOR OOD,BG,Bulgarie,SOFIA,"ZH.K. STORGOZIA, DO BL. 15",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of men's clothing and accessories,Retail,Engaged in the retail distribution of men's clothing and accessories [source: Bureau van Dijk],www.teodor.bg,2.0,0.0,1.0,10,7,9,YES,NO,NO
MORETTO ABBIGLIAMENTO DI MORETTO GRAZIANO - S.R.L.,IT,Italie,CESSALTO,VIA MAGGIORE 193,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,Engaged in the retail trade of clothing apparels [source: Bureau van Dijk],"www.morettoabbigliamento.com",0.0,0.0,0.0,10,8,10,YES,NO,NO
MDL EOOD,BG,Bulgarie,SOFIA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale and marketing of clothing and fashion apparel items,Retail,Engaged in the retail sale and marketing of clothing and fashion apparel items [source: Bureau van Dijk],www.mdl.bg,0.0,0.0,0.0,10,8,12,YES,NO,NO
JACOBER,FR,France,LYON,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.silvana-jacober.ch,1.0,2.0,1.0,10,9,8,YES,NO,NO
BEKLEIDUNGSFABRIK BESSMANN BREITENWORBIS GMBH & CO.KG,DE,Allemagne,BREITENWORBIS,,4771,Commerce de détail d'habillement en magasin spécialisé,Industrial company engaged in the operation and management of a chain of family clothing and accessories stores principally in Germany,Retail,Industrial company engaged in the operation and management of a chain of family clothing and accessories stores principally in Germany [source: Bureau van Dijk],www.bessmann.de,,,,9,11,14,NO,NO,#DIV/0!
VENDRAMINI ABBIGLIAMENTO S.R.L.,IT,Italie,CASTELFRANCO VENETO,GALLERIA EUROPA 25,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of men's and boys ready-to-wear clothing and accessories,Retail,Engaged in the retail sale of men's and boys ready-to-wear clothing and accessories [source: Bureau van Dijk],"vendraminiabbigliamento.it",2.0,1.0,2.0,10,8,11,YES,NO,NO
PICK & CHOOSE AKTIEBOLAG,SE,Suède,MOLNDAL,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and accessories,Retail,"Bolaget skall bedriva handel med och konsultuppdrg i konfektion,skor och textilier och darmed forenlig verksamhet.",www.pickchoose.se,0.0,0.0,0.0,10,8,8,YES,YES,
"SPORTINO, LDA",PT,Portugal,BOMBARRAL,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail of shoes,Retail,Engaged in the retail of shoes [source: Bureau van Dijk],www.sportino.pt,1.0,0.0,1.0,10,9,11,YES,NO,NO
LUISA,BE,Belgique,BRUXELLES,LOUIZALAAN 75,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of fashion accessories and related products,Retail,Engaged in the retail trade of fashion accessories and related products [source: Bureau van Dijk],www.luisa.be,0.0,0.0,0.0,10,8,11,YES,YES,
ROSSINI 1882 S.P.A.,IT,Italie,ROMA,VIA DI VILLA EMILIANI 48,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.rossini-spa.it,1.0,0.0,1.0,10,7,8,YES,NO,NO
ROMA SERVICES,BE,Belgique,GRACE-BERLEUR,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail trade of footwear and other related products,Retail,Engaged in the retail trade of footwear and other related products [source: Bureau van Dijk],"www.romatransport.net.au",0.0,0.0,0.0,10,8,10,YES,YES,
NITTIS SIA,LV,Lettonie,ROPAZU NOV.,BRIVIBAS GATVE 372,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail distribution of footwear,Retail,Retail trade of footwear.,lv.nsking.eu,1.0,0.0,0.0,9,8,9,YES,NO,NO
J F JOHANSSON SKOR AKTIEBOLAG,SE,Suède,VASTRA FROLUNDA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale and marketing of footwear products and leather goods,Retail,Bolaget ska driva skohandelsrorelse jamte darmed forenligverksamhet.,"johanssons.se",0.0,-1.0,0.0,9,8,11,YES,YES,
MATRANGA S.R.L.,IT,Italie,PALERMO,VIA RUGGIERO SETTIMO 56/56 A,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.matranga.it,1.0,1.0,0.0,9,9,9,YES,NO,NO
VERONESI GIULIO S.R.L.,IT,Italie,BOLOGNA,PIAZZA ENZO RE 1/H,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the manufacture and retail distribution of jewelry,Manufacturing; Retail,Engaged in the manufacture and retail distribution of jewelry [source: Bureau van Dijk],www.giulioveronesi.it,1.0,0.0,1.0,9,7,8,YES,NO,NO
FERDINANDO VERONESI & FIGLI - S.R.L.,IT,Italie,BOLOGNA,PIAZZA MAGGIORE 4/A,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail distribution of jewellery,Retail,Engaged in the retail distribution of jewellery [source: Bureau van Dijk],"ferdinandoveronesi.com",2.0,1.0,2.0,9,6,7,YES,NO,NO
